datetime,date,hour,wind_speed_ms,ghi_wm2,wind_cf,pv_cf,wind_MW,pv_MW
2024-01-01 00:00:00,2024-01-01,0,4.2,0.0,0.00237,0.0,0.09480000000000001,0.0
2024-01-01 01:00:00,2024-01-01,1,4.19,0.0,0.002312,0.0,0.09247999999999999,0.0
2024-01-01 02:00:00,2024-01-01,2,4.23,0.0,0.002553,0.0,0.10212,0.0
2024-01-01 03:00:00,2024-01-01,3,4.2,0.0,0.00237,0.0,0.09480000000000001,0.0
2024-01-01 04:00:00,2024-01-01,4,3.87,0.0,0.000903,0.0,0.03612,0.0
2024-01-01 05:00:00,2024-01-01,5,3.36,0.0,6.4e-05,0.0,0.0025599999999999998,0.0
2024-01-01 06:00:00,2024-01-01,6,3.18,0.0,8e-06,0.0,0.00031999999999999997,0.0
2024-01-01 07:00:00,2024-01-01,7,3.44,36.88,0.000117,0.03688,0.00468,2.36032
2024-01-01 08:00:00,2024-01-01,8,3.41,170.8,9.5e-05,0.1708,0.0038000000000000004,10.9312
2024-01-01 09:00:00,2024-01-01,9,3.17,308.4,7e-06,0.3084,0.00028,19.7376
2024-01-01 10:00:00,2024-01-01,10,4.43,406.7,0.004011,0.4067,0.16044,26.0288
2024-01-01 11:00:00,2024-01-01,11,4.99,426.3,0.01081,0.4263,0.4324,27.2832
2024-01-01 12:00:00,2024-01-01,12,5.04,382.85,0.011646,0.38285,0.46584000000000003,24.5024
2024-01-01 13:00:00,2024-01-01,13,5.11,289.95,0.012886,0.28995,0.51544,18.5568
2024-01-01 14:00:00,2024-01-01,14,4.94,179.93,0.010016,0.17993,0.40064,11.51552
2024-01-01 15:00:00,2024-01-01,15,4.64,63.12,0.006051,0.06312,0.24204,4.03968
2024-01-01 16:00:00,2024-01-01,16,5.04,0.0,0.011646,0.0,0.46584000000000003,0.0
2024-01-01 17:00:00,2024-01-01,17,5.08,0.0,0.012344,0.0,0.49376000000000003,0.0
2024-01-01 18:00:00,2024-01-01,18,5.08,0.0,0.012344,0.0,0.49376000000000003,0.0
2024-01-01 19:00:00,2024-01-01,19,5.3,0.0,0.01669,0.0,0.6676,0.0
2024-01-01 20:00:00,2024-01-01,20,5.72,0.0,0.027604,0.0,1.10416,0.0
2024-01-01 21:00:00,2024-01-01,21,6.14,0.0,0.042468,0.0,1.69872,0.0
2024-01-01 22:00:00,2024-01-01,22,6.29,0.0,0.04885,0.0,1.954,0.0
2024-01-01 23:00:00,2024-01-01,23,6.38,0.0,0.052969,0.0,2.11876,0.0
2024-01-02 00:00:00,2024-01-02,0,6.77,0.0,0.073502,0.0,2.94008,0.0
2024-01-02 01:00:00,2024-01-02,1,7.24,0.0,0.104561,0.0,4.18244,0.0
2024-01-02 02:00:00,2024-01-02,2,7.68,0.0,0.140608,0.0,5.624320000000001,0.0
2024-01-02 03:00:00,2024-01-02,3,8.03,0.0,0.174573,0.0,6.98292,0.0
2024-01-02 04:00:00,2024-01-02,4,7.94,0.0,0.165369,0.0,6.6147599999999995,0.0
2024-01-02 05:00:00,2024-01-02,5,7.79,0.0,0.150758,0.0,6.03032,0.0
2024-01-02 06:00:00,2024-01-02,6,8.52,0.0,0.230722,0.0,9.22888,0.0
2024-01-02 07:00:00,2024-01-02,7,8.39,37.2,0.214802,0.0372,8.59208,2.3808
2024-01-02 08:00:00,2024-01-02,8,7.39,173.35,0.116056,0.17335,4.64224,11.0944
2024-01-02 09:00:00,2024-01-02,9,8.64,314.27,0.246099,0.31427,9.843960000000001,20.11328
2024-01-02 10:00:00,2024-01-02,10,10.37,420.58,0.54913,0.42058,21.9652,26.91712
2024-01-02 11:00:00,2024-01-02,11,10.75,473.62,0.638525,0.47362,25.541,30.31168
2024-01-02 12:00:00,2024-01-02,12,10.98,457.48,0.697078,0.45748,27.883119999999998,29.27872
2024-01-02 13:00:00,2024-01-02,13,11.19,364.67,0.753571,0.36467,30.14284,23.33888
2024-01-02 14:00:00,2024-01-02,14,11.27,243.52,0.77587,0.24352,31.034799999999997,15.58528
2024-01-02 15:00:00,2024-01-02,15,10.28,90.4,0.529257,0.0904,21.170279999999998,5.7856
2024-01-02 16:00:00,2024-01-02,16,9.37,0.0,0.354561,0.0,14.18244,0.0
2024-01-02 17:00:00,2024-01-02,17,8.98,0.0,0.293343,0.0,11.733720000000002,0.0
2024-01-02 18:00:00,2024-01-02,18,9.21,0.0,0.328509,0.0,13.14036,0.0
2024-01-02 19:00:00,2024-01-02,19,9.54,0.0,0.383712,0.0,15.34848,0.0
2024-01-02 20:00:00,2024-01-02,20,9.67,0.0,0.407052,0.0,16.28208,0.0
2024-01-02 21:00:00,2024-01-02,21,9.61,0.0,0.396166,0.0,15.84664,0.0
2024-01-02 22:00:00,2024-01-02,22,9.56,0.0,0.387243,0.0,15.48972,0.0
2024-01-02 23:00:00,2024-01-02,23,9.46,0.0,0.369803,0.0,14.79212,0.0
2024-01-03 00:00:00,2024-01-03,0,9.19,0.0,0.325345,0.0,13.0138,0.0
2024-01-03 01:00:00,2024-01-03,1,8.83,0.0,0.271818,0.0,10.872720000000001,0.0
2024-01-03 02:00:00,2024-01-03,2,8.38,0.0,0.213609,0.0,8.54436,0.0
2024-01-03 03:00:00,2024-01-03,3,7.82,0.0,0.153608,0.0,6.14432,0.0
2024-01-03 04:00:00,2024-01-03,4,6.94,0.0,0.0839,0.0,3.356,0.0
2024-01-03 05:00:00,2024-01-03,5,5.91,0.0,0.033803,0.0,1.35212,0.0
2024-01-03 06:00:00,2024-01-03,6,5.37,0.0,0.018261,0.0,0.73044,0.0
2024-01-03 07:00:00,2024-01-03,7,5.29,47.17,0.016473,0.04717,0.6589200000000001,3.01888
2024-01-03 08:00:00,2024-01-03,8,4.87,202.4,0.00897,0.2024,0.3588,12.9536
2024-01-03 09:00:00,2024-01-03,9,5.6,339.8,0.02411,0.3398,0.9643999999999999,21.7472
2024-01-03 10:00:00,2024-01-03,10,7.25,430.67,0.105303,0.43067,4.21212,27.56288
2024-01-03 11:00:00,2024-01-03,11,8.34,459.98,0.20888,0.45998,8.3552,29.43872
2024-01-03 12:00:00,2024-01-03,12,9.1,432.77,0.311359,0.43277,12.45436,27.69728
2024-01-03 13:00:00,2024-01-03,13,9.54,354.27,0.383712,0.35427,15.34848,22.67328
2024-01-03 14:00:00,2024-01-03,14,8.96,226.52,0.29041,0.22652,11.6164,14.49728
2024-01-03 15:00:00,2024-01-03,15,7.85,78.3,0.156494,0.0783,6.25976,5.0112
2024-01-03 16:00:00,2024-01-03,16,8.26,0.0,0.199632,0.0,7.98528,0.0
2024-01-03 17:00:00,2024-01-03,17,8.5,0.0,0.228224,0.0,9.128960000000001,0.0
2024-01-03 18:00:00,2024-01-03,18,8.41,0.0,0.217202,0.0,8.68808,0.0
