datetime,date,hour,wind_speed_ms,ghi_wm2,wind_cf,pv_cf,wind_MW,pv_MW
2023-01-01 00:00:00,2023-01-01,0,4.29,0.0,0.002945,0.0,0.1178,0.0
2023-01-01 01:00:00,2023-01-01,1,4.84,0.0,0.008545,0.0,0.3418,0.0
2023-01-01 02:00:00,2023-01-01,2,5.14,0.0,0.013444,0.0,0.53776,0.0
2023-01-01 03:00:00,2023-01-01,3,5.14,0.0,0.013444,0.0,0.53776,0.0
2023-01-01 04:00:00,2023-01-01,4,5.07,0.0,0.012167,0.0,0.48668,0.0
2023-01-01 05:00:00,2023-01-01,5,5.08,0.0,0.012344,0.0,0.49376000000000003,0.0
2023-01-01 06:00:00,2023-01-01,6,5.23,0.0,0.015212,0.0,0.60848,0.0
2023-01-01 07:00:00,2023-01-01,7,5.46,36.05,0.020421,0.03605,0.81684,2.3072
2023-01-01 08:00:00,2023-01-01,8,5.28,173.12,0.016258,0.17312,0.65032,11.07968
2023-01-01 09:00:00,2023-01-01,9,4.67,296.62,0.006389,0.29662,0.25556,18.98368
2023-01-01 10:00:00,2023-01-01,10,4.78,384.67,0.007736,0.38467,0.30944,24.61888
2023-01-01 11:00:00,2023-01-01,11,4.88,415.52,0.009115,0.41552,0.3646,26.59328
2023-01-01 12:00:00,2023-01-01,12,4.75,383.98,0.007352,0.38398,0.29408,24.57472
2023-01-01 13:00:00,2023-01-01,13,4.77,313.9,0.007607,0.3139,0.30428,20.0896
2023-01-01 14:00:00,2023-01-01,14,4.91,200.23,0.009558,0.20023,0.38232,12.81472
2023-01-01 15:00:00,2023-01-01,15,5.11,67.38,0.012886,0.06738,0.51544,4.31232
2023-01-01 16:00:00,2023-01-01,16,6.08,0.0,0.04008,0.0,1.6032,0.0
2023-01-01 17:00:00,2023-01-01,17,6.97,0.0,0.085831,0.0,3.43324,0.0
2023-01-01 18:00:00,2023-01-01,18,7.44,0.0,0.120066,0.0,4.80264,0.0
2023-01-01 19:00:00,2023-01-01,19,7.58,0.0,0.131786,0.0,5.271439999999999,0.0
2023-01-01 20:00:00,2023-01-01,20,7.62,0.0,0.135269,0.0,5.41076,0.0
2023-01-01 21:00:00,2023-01-01,21,7.6,0.0,0.13352,0.0,5.3408,0.0
2023-01-01 22:00:00,2023-01-01,22,7.36,0.0,0.113693,0.0,4.54772,0.0
2023-01-01 23:00:00,2023-01-01,23,6.95,0.0,0.08454,0.0,3.3816,0.0
2023-01-02 00:00:00,2023-01-02,0,6.53,0.0,0.060339,0.0,2.41356,0.0
2023-01-02 01:00:00,2023-01-02,1,6.09,0.0,0.040471,0.0,1.61884,0.0
2023-01-02 02:00:00,2023-01-02,2,5.66,0.0,0.025818,0.0,1.03272,0.0
2023-01-02 03:00:00,2023-01-02,3,5.42,0.0,0.019441,0.0,0.77764,0.0
2023-01-02 04:00:00,2023-01-02,4,5.2,0.0,0.014606,0.0,0.58424,0.0
2023-01-02 05:00:00,2023-01-02,5,4.84,0.0,0.008545,0.0,0.3418,0.0
2023-01-02 06:00:00,2023-01-02,6,4.4,0.0,0.003764,0.0,0.15056,0.0
2023-01-02 07:00:00,2023-01-02,7,3.94,38.42,0.001139,0.03842,0.04556,2.45888
2023-01-02 08:00:00,2023-01-02,8,3.38,190.73,7.5e-05,0.19073,0.0029999999999999996,12.20672
2023-01-02 09:00:00,2023-01-02,9,3.12,327.75,2e-06,0.32775,7.999999999999999e-05,20.976
2023-01-02 10:00:00,2023-01-02,10,3.9,423.17,0.001,0.42317,0.04,27.08288
2023-01-02 11:00:00,2023-01-02,11,4.5,453.3,0.00463,0.4533,0.18519999999999998,29.0112
2023-01-02 12:00:00,2023-01-02,12,4.95,411.65,0.010171,0.41165,0.40684,26.3456
2023-01-02 13:00:00,2023-01-02,13,5.19,336.27,0.014408,0.33627,0.57632,21.52128
2023-01-02 14:00:00,2023-01-02,14,5.16,220.95,0.013824,0.22095,0.55296,14.1408
2023-01-02 15:00:00,2023-01-02,15,4.64,76.4,0.006051,0.0764,0.24204,4.8896
2023-01-02 16:00:00,2023-01-02,16,4.0,0.0,0.001372,0.0,0.05488,0.0
2023-01-02 17:00:00,2023-01-02,17,3.56,0.0,0.000241,0.0,0.00964,0.0
2023-01-02 18:00:00,2023-01-02,18,3.45,0.0,0.000125,0.0,0.005,0.0
2023-01-02 19:00:00,2023-01-02,19,3.52,0.0,0.000193,0.0,0.00772,0.0
2023-01-02 20:00:00,2023-01-02,20,3.51,0.0,0.000182,0.0,0.00728,0.0
2023-01-02 21:00:00,2023-01-02,21,3.45,0.0,0.000125,0.0,0.005,0.0
2023-01-02 22:00:00,2023-01-02,22,3.54,0.0,0.000216,0.0,0.00864,0.0
2023-01-02 23:00:00,2023-01-02,23,3.63,0.0,0.000343,0.0,0.01372,0.0
2023-01-03 00:00:00,2023-01-03,0,3.64,0.0,0.00036,0.0,0.014400000000000001,0.0
2023-01-03 01:00:00,2023-01-03,1,3.5,0.0,0.000171,0.0,0.006840000000000001,0.0
2023-01-03 02:00:00,2023-01-03,2,3.31,0.0,4.1e-05,0.0,0.00164,0.0
2023-01-03 03:00:00,2023-01-03,3,3.08,0.0,1e-06,0.0,3.9999999999999996e-05,0.0
2023-01-03 04:00:00,2023-01-03,4,2.7,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,2023-01-03,5,2.33,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,2023-01-03,6,2.12,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,2023-01-03,7,2.09,33.7,0.0,0.0337,0.0,2.1568
2023-01-03 08:00:00,2023-01-03,8,1.98,160.88,0.0,0.16088,0.0,10.29632
2023-01-03 09:00:00,2023-01-03,9,1.97,275.67,0.0,0.27567,0.0,17.64288
2023-01-03 10:00:00,2023-01-03,10,3.42,356.4,0.000102,0.3564,0.00408,22.8096
2023-01-03 11:00:00,2023-01-03,11,4.96,397.25,0.010329,0.39725,0.41315999999999997,25.424
2023-01-03 12:00:00,2023-01-03,12,6.04,368.23,0.038538,0.36823,1.5415200000000002,23.56672
2023-01-03 13:00:00,2023-01-03,13,6.76,279.77,0.072918,0.27977,2.9167199999999998,17.90528
2023-01-03 14:00:00,2023-01-03,14,6.79,187.45,0.074678,0.18745,2.98712,11.9968
2023-01-03 15:00:00,2023-01-03,15,6.11,67.6,0.041262,0.0676,1.65048,4.3264
2023-01-03 16:00:00,2023-01-03,16,5.36,0.0,0.018031,0.0,0.7212399999999999,0.0
2023-01-03 17:00:00,2023-01-03,17,5.21,0.0,0.014806,0.0,0.59224,0.0
2023-01-03 18:00:00,2023-01-03,18,5.66,0.0,0.025818,0.0,1.03272,0.0
2023-01-03 19:00:00,2023-01-03,19,6.06,0.0,0.039304,0.0,1.57216,0.0
2023-01-03 20:00:00,2023-01-03,20,6.4,0.0,0.053915,0.0,2.1566,0.0
2023-01-03 21:00:00,2023-01-03,21,6.69,0.0,0.068921,0.0,2.75684,0.0
2023-01-03 22:00:00,2023-01-03,22,6.63,0.0,0.065613,0.0,2.6245200000000004,0.0
2023-01-03 23:00:00,2023-01-03,23,6.53,0.0,0.060339,0.0,2.41356,0.0
2023-01-04 00:00:00,2023-01-04,0,6.42,0.0,0.054872,0.0,2.19488,0.0
2023-01-04 01:00:00,2023-01-04,1,6.31,0.0,0.049746,0.0,1.98984,0.0
2023-01-04 02:00:00,2023-01-04,2,6.22,0.0,0.045797,0.0,1.83188,0.0
2023-01-04 03:00:00,2023-01-04,3,6.06,0.0,0.039304,0.0,1.57216,0.0
2023-01-04 04:00:00,2023-01-04,4,5.57,0.0,0.023285,0.0,0.9314,0.0
2023-01-04 05:00:00,2023-01-04,5,4.85,0.0,0.008685,0.0,0.3474,0.0
2023-01-04 06:00:00,2023-01-04,6,4.17,0.0,0.002197,0.0,0.08788000000000001,0.0
2023-01-04 07:00:00,2023-01-04,7,3.68,46.17,0.000431,0.04617,0.017240000000000002,2.95488
2023-01-04 08:00:00,2023-01-04,8,3.14,202.75,4e-06,0.20275,0.00015999999999999999,12.976
2023-01-04 09:00:00,2023-01-04,9,3.37,340.12,6.9e-05,0.34012,0.00276,21.76768
2023-01-04 10:00:00,2023-01-04,10,5.03,431.67,0.011475,0.43167,0.459,27.62688
2023-01-04 11:00:00,2023-01-04,11,6.21,463.77,0.045372,0.46377,1.81488,29.68128
2023-01-04 12:00:00,2023-01-04,12,7.03,438.58,0.089782,0.43858,3.5912800000000002,28.06912
2023-01-04 13:00:00,2023-01-04,13,7.44,353.0,0.120066,0.353,4.80264,22.592
2023-01-04 14:00:00,2023-01-04,14,7.37,222.73,0.114477,0.22273,4.579079999999999,14.25472
2023-01-04 15:00:00,2023-01-04,15,6.44,75.25,0.05584,0.07525,2.2336,4.816
2023-01-04 16:00:00,2023-01-04,16,5.62,0.0,0.02467,0.0,0.9868,0.0
2023-01-04 17:00:00,2023-01-04,17,5.14,0.0,0.013444,0.0,0.53776,0.0
2023-01-04 18:00:00,2023-01-04,18,4.99,0.0,0.01081,0.0,0.4324,0.0
2023-01-04 19:00:00,2023-01-04,19,5.21,0.0,0.014806,0.0,0.59224,0.0
2023-01-04 20:00:00,2023-01-04,20,5.63,0.0,0.024954,0.0,0.99816,0.0
2023-01-04 21:00:00,2023-01-04,21,6.02,0.0,0.037783,0.0,1.51132,0.0
2023-01-04 22:00:00,2023-01-04,22,6.18,0.0,0.044112,0.0,1.7644799999999998,0.0
2023-01-04 23:00:00,2023-01-04,23,6.06,0.0,0.039304,0.0,1.57216,0.0
2023-01-05 00:00:00,2023-01-05,0,5.79,0.0,0.029791,0.0,1.19164,0.0
2023-01-05 01:00:00,2023-01-05,1,5.38,0.0,0.018493,0.0,0.7397199999999999,0.0
2023-01-05 02:00:00,2023-01-05,2,5.05,0.0,0.011818,0.0,0.47272000000000003,0.0
2023-01-05 03:00:00,2023-01-05,3,4.8,0.0,0.008,0.0,0.32,0.0
2023-01-05 04:00:00,2023-01-05,4,4.53,0.0,0.004913,0.0,0.19652,0.0
2023-01-05 05:00:00,2023-01-05,5,3.96,0.0,0.001214,0.0,0.04856,0.0
